  Tick   ID   Location   Memory   Time Left     Status
    28   18          5       34           3    RUNNING
    28   19         -1       28           0   FINISHED

  Tick   ID   Location   Memory   Time Left     Status
    29    0         -1       23           0   FINISHED
    29    1         -1       19           0   FINISHED
    29    2         -1       24           0   FINISHED
    29    3         -1       48           0   FINISHED
    29    4         -1       29           0   FINISHED
    29    5         -1       26           0   FINISHED
    29    6         -1       43           0   FINISHED
    29    7         -1       58           0   FINISHED
    29    8         -1       40           0   FINISHED
    29    9         -1       47           0   FINISHED
    29   10         -1       32           0   FINISHED
    29   11         -1       52           0   FINISHED
    29   12         -1       62           0   FINISHED
    29   13         -1       32           0   FINISHED
    29   14         -1       40           0   FINISHED
    29   15          4       61           3    RUNNING
    29   16         -1       40           0   FINISHED
    29   17          7       55           8      READY
    29   18          5       34           2    RUNNING
    29   19         -1       28           0   FINISHED

  Tick   ID   Location   Memory   Time Left     Status
    30    0         -1       23           0   FINISHED
    30    1         -1       19           0   FINISHED
    30    2         -1       24           0   FINISHED
    30    3         -1       48           0   FINISHED
    30    4         -1       29           0   FINISHED
    30    5         -1       26           0   FINISHED
    30    6         -1       43           0   FINISHED
    30    7         -1       58           0   FINISHED
    30    8         -1       40           0   FINISHED
    30    9         -1       47           0   FINISHED
    30   10         -1       32           0   FINISHED
    30   11         -1       52           0   FINISHED
    30   12         -1       62           0   FINISHED
    30   13         -1       32           0   FINISHED
    30   14         -1       40           0   FINISHED
    30   15          4       61           2    RUNNING
    30   16         -1       40           0   FINISHED
    30   17          7       55           7    RUNNING
    30   18          5       34           1    RUNNING
    30   19         -1       28           0   FINISHED

